Ref,Val,Package,PosX,PosY,Rot,Side
"J10","Conn_02x05_Odd_Even","PinSocket_2x05_P2.00mm_Vertical_SMD",157.930000,-92.300000,-90.000000,bottom
"J13","Conn_02x05_Odd_Even","PinSocket_2x05_P2.00mm_Vertical_SMD",154.370000,-112.300000,90.000000,bottom
"J32","Conn_02x05_Odd_Even","PinSocket_2x05_P2.00mm_Vertical_SMD",168.940000,-92.300000,-90.000000,bottom
"J35","Conn_02x05_Odd_Even","PinSocket_2x05_P2.00mm_Vertical_SMD",165.410000,-112.310000,90.000000,bottom
"J54","Conn_02x05_Odd_Even","PinSocket_2x05_P2.00mm_Vertical_SMD",179.940000,-92.290000,-90.000000,bottom
"J57","Conn_02x05_Odd_Even","PinSocket_2x05_P2.00mm_Vertical_SMD",176.420000,-112.310000,90.000000,bottom
